Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000163485,ADORA1,0.45,0.03,-4.11,0.32,0.02,-4.19
ENSG00000163491,NEK10,0.53,0.10,-2.46,0.41,0.08,-2.46
ENSG00000163492,CCDC141,1.27,0.19,-2.77,0.91,0.18,-2.32
ENSG00000163497,FEV,0.02,0.00,-Inf,0.01,0.00,-Inf
ENSG00000163499,CRYBA2,0.12,1.32,3.52,0.20,1.56,2.96
ENSG00000163501,IHH,0.07,0.32,2.31,0.08,0.37,2.16
ENSG00000163507,KIAA1524,17.02,8.92,-0.93,15.84,7.78,-1.03
ENSG00000163508,EOMES,0.39,0.93,1.25,0.44,1.03,1.23
ENSG00000163510,CWC22,16.57,18.39,0.15,19.42,16.71,-0.22
ENSG00000163512,AZI2,8.56,6.49,-0.40,10.00,4.90,-1.03
ENSG00000163513,TGFBR2,0.07,0.75,3.52,0.04,0.94,4.43
ENSG00000163515,RETNLB,0.01,0.00,-Inf,0.01,0.00,-Inf
ENSG00000163516,ANKZF1,4.27,13.25,1.64,8.92,12.01,0.43
ENSG00000163517,HDAC11,2.17,0.47,-2.20,1.80,0.33,-2.47
ENSG00000163518,FCRL4,0.02,0.00,-Inf,0.01,0.00,-Inf
ENSG00000163519,TRAT1,0.05,0.00,-Inf,0.03,0.00,-Inf
ENSG00000163520,FBLN2,1.67,0.63,-1.41,1.61,0.41,-1.97
ENSG00000163521,GLB1L,17.41,1.54,-3.50,13.39,0.59,-4.51
ENSG00000163527,STT3B,11.77,15.00,0.35,13.18,14.75,0.16
ENSG00000163528,CHCHD4,0.47,45.40,6.61,0.75,56.43,6.24
ENSG00000163530,DPPA2,0.05,60.14,10.23,16.95,62.49,1.88
ENSG00000163531,NFASC,0.78,0.07,-3.43,0.59,0.03,-4.19
ENSG00000163534,FCRL1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000163535,SGO2,28.57,15.73,-0.86,29.75,11.63,-1.35
ENSG00000163536,SERPINI1,0.93,2.62,1.50,1.18,2.86,1.27
ENSG00000163539,CLASP2,2.15,1.97,-0.13,1.69,2.27,0.43
ENSG00000163541,SUCLG1,14.00,35.54,1.34,10.68,43.42,2.02
ENSG00000163545,NUAK2,0.55,4.30,2.97,0.43,5.33,3.62
ENSG00000163554,SPTA1,0.00,0.00,Inf,0.01,0.00,-Inf
ENSG00000163558,PRKCI,5.00,6.88,0.46,5.24,7.17,0.45
ENSG00000163563,MNDA,0.00,0.00,NA,0.00,0.00,NA
ENSG00000163564,PYHIN1,0.00,0.00,Inf,0.00,0.01,Inf
ENSG00000163565,IFI16,0.06,6.40,6.74,0.05,7.99,7.23
