Gene,Expressed,AC_Patient,AN_Patient,AF_Patient,AC_gnomAD,AN_gnomAD,AF_gnomAD,pVal,FDR
FAM86B1,NO,8,356,0.0224719101,226,10252,0.0220444791,0.8548506992,-
FBXL16,NO,17,356,0.047752809,492,14594,0.0337124846,0.1829806875,-
FBXL19,NO,1,356,0.0028089888,1,14940,6.69344042838019E-05,0.0461296708,-
FBXO39,NO,83,356,0.2331460674,4247,14726,0.2884014668,0.0924186123,-
FCER2,NO,1,356,0.0028089888,30,14986,0.0020018684,0.5176615628,-
FCGR2A,NO,56,712,0.1573033708,1661,28738,0.1111995114,0.036757547,-
FCGR3B,NO,704,712,1.9775280899,29710,29744,1.9977138245,0.8507591175,-
FCN2,NO,148,712,0.4157303371,6841,29906,0.4577562945,0.3079165881,-
FCRL5,NO,33,356,0.0926966292,1178,14978,0.0786486847,0.3744929886,-
FCRL6,NO,102,712,0.2865168539,4184,29926,0.2796230568,0.8287849037,-
FCRLB,NO,23,356,0.0646067416,782,14988,0.0521750734,0.3375504028,-
FEM1A,NO,1,356,0.0028089888,69,15006,0.0045981607,1,-
FFAR4,NO,70,712,0.1966292135,2473,29956,0.1653065238,0.1731197976,-
FGF20,NO,254,356,0.7134831461,10675,14972,0.7129975955,1,-
FGF23,NO,1,356,0.0028089888,6,14942,0.0004015527,0.1523158731,-
FGF6,NO,2,356,0.0056179775,48,15002,0.0031995734,0.3242636609,-
FGFBP1,NO,125,356,0.3511235955,4810,14980,0.3210947931,0.3900417538,-
FGL1,NO,14,356,0.0393258427,623,15014,0.041494605,1,-
FHAD1,NO,329,712,0.9241573034,14419,29984,0.961587111,0.569281533,-
FIZ1,NO,6,356,0.0168539326,161,14978,0.0107490987,0.2917972747,-
FLT4,NO,2,356,0.0056179775,121,14990,0.008072048,1,-
FMNL3,NO,6,356,0.0168539326,269,15006,0.0179261629,1,-
FMNL3;PRPF40B,NO,36,356,0.1011235955,1596,14958,0.1066987565,0.8623415572,-
FOXC1,NO,2,356,0.0056179775,15,14722,0.0010188833,0.0603449407,-
FPR1,NO,1,356,0.0028089888,115,14800,0.0077702703,0.5291930137,-
FPR2,NO,1,356,0.0028089888,1,15016,6.6595631326585E-05,0.0459043046,-
FRMPD4,NO,131,1068,0.3679775281,3348,30944,0.3276502783,0.1822577999,-
FUT5,NO,291,712,0.8174157303,11663,29722,0.781265692,0.5699692877,-
G6PC2,NO,10,712,0.0280898876,291,30014,0.0193880344,0.2446540302,-
GABRR1,NO,158,356,0.4438202247,6089,14968,0.4068011758,0.375759192,-
GADL1,NO,15,356,0.0421348315,386,14784,0.0261093074,0.0934595574,-
GALNT17,NO,49,356,0.1376404494,1991,14952,0.1331594436,0.8148767346,-
GARNL3,NO,3,356,0.0084269663,54,15004,0.0035990403,0.1470413799,-
GAS1,NO,1,356,0.0028089888,31,14980,0.0020694259,0.5290021524,-
GAS2L2,NO,11,712,0.0308988764,899,29972,0.0599867401,0.0239161445,-
GCNT4,NO,129,1068,0.3623595506,5301,44918,0.3546128787,0.8118946523,-
GDAP1L1,NO,70,1780,0.1966292135,2254,74774,0.1504812828,0.0365004561,-
GDNF,NO,11,356,0.0308988764,111,14984,0.0074079018,0.0001547439,-
GFAP,NO,102,712,0.2865168539,5071,29886,0.3397514258,0.1181272615,-
GFI1,NO,1,356,0.0028089888,18,14990,0.0012008005,0.3604127367,-
GFI1B,NO,234,356,0.6573033708,8904,14968,0.594869054,0.2449704137,-
GFRA4,NO,37,712,0.1039325843,1948,29954,0.1301030614,0.2151839784,-
GFRAL,NO,252,356,0.7078651685,10765,14942,0.720452416,0.8679012022,-
GIMAP6,NO,5,712,0.0140449438,196,29960,0.0130872147,0.8120812409,-
GIMAP7,NO,26,342,0.0760233918,965,13976,0.0690469376,0.5926148773,-
GIPC3,NO,1,356,0.0028089888,2,14972,0.0001335827,0.0682486963,-
GIPR,NO,105,356,0.2949438202,3711,14982,0.2476972367,0.124833335,-
GJB2,NO,315,1424,0.8848314607,13312,60006,0.887886183,1,-
GJD3,NO,33,1068,0.0926966292,1133,44998,0.0755282504,0.2384990721,-
GKN1,NO,16,712,0.0449438202,1048,29998,0.0699156616,0.094101301,-
GLI3,NO,17,356,0.047752809,741,14986,0.0494461497,1,-
GLIS1,NO,86,356,0.2415730337,3503,14922,0.2347540544,0.8063157488,-
GLP2R,NO,193,712,0.5421348315,9298,29858,0.6228140907,0.0966820226,-
GLRA3,NO,11,356,0.0308988764,864,15006,0.0575769692,0.045463629,-
GMNC,NO,9,356,0.0252808989,242,14994,0.0161397892,0.1998664437,-
GNLY,NO,172,1424,0.4831460674,7271,59924,0.4862524778,1,-
GOLGA6L22,NO,1,356,0.0028089888,16,6952,0.002301496,0.5727373166,-
GP6,NO,290,712,0.8146067416,12680,30020,0.844877687,0.6244175282,-
GPC2,NO,6,356,0.0168539326,212,14922,0.0142072108,0.6474892689,-
GPR148,NO,4,356,0.0112359551,293,15004,0.0195281258,0.3314397643,-
GPR182,NO,1,356,0.0028089888,2,15010,0.0001332445,0.0680838905,-
GPR25,NO,115,356,0.3230337079,4468,14572,0.3066154268,0.6208096884,-
GPR26,NO,54,712,0.1516853933,3330,29946,0.2228311297,0.0058971742,-
GPR83,NO,75,356,0.2106741573,3402,14960,0.2274064171,0.6155674391,-
GPRIN3,NO,264,1424,0.7415730337,11869,59960,0.7929555651,0.3530030869,-
GRAMD1C,NO,1,356,0.0028089888,6,15002,0.0003999467,0.151762103,-
GREM1,NO,140,356,0.393258427,5435,14946,0.3636424461,0.4411900751,-
GRM1,NO,2,356,0.0056179775,14,14992,0.0009338314,0.0523946485,-
GRM2,NO,3,356,0.0084269663,109,15000,0.0072666667,0.7464870441,-
GRM6,NO,439,1780,1.2331460674,16742,74990,1.1156210875,0.0666302947,-
GRXCR1,NO,168,356,0.4719101124,7055,14966,0.4714018442,1,-
GSG1L,NO,2,356,0.0056179775,34,14960,0.0022727273,0.2046811525,-
GUCA2B,NO,3,356,0.0084269663,94,14982,0.0062741957,0.4945533625,-
GXYLT2,NO,210,356,0.5898876404,9157,14954,0.6123445232,0.6934485754,-
GZMB,NO,86,356,0.2415730337,3223,14958,0.2154699826,0.3450161214,-
GZMH,NO,16,356,0.0449438202,379,14974,0.0253105383,0.0410781429,-
HACD4,NO,98,356,0.2752808989,3943,14972,0.2633582688,0.682844023,-
HAND2,NO,4,356,0.0112359551,25,14996,0.0016671112,0.0044131579,-
HCRTR1,NO,19,712,0.0533707865,947,29966,0.0632250404,0.5854519652,-
HDAC4,NO,5,712,0.0140449438,335,30012,0.0223244036,0.3665968894,-
HDGFL2;PLIN4,NO,189,356,0.5308988764,8237,14810,0.5561782579,0.6192093966,-
HEPACAM2,NO,27,356,0.0758426966,1478,14970,0.0987307949,0.2051718741,-
HES7,NO,2,334,0.005988024,130,14964,0.0086875167,1,-
HEYL,NO,349,356,0.9803370787,14745,14992,0.9835245464,0.9696229947,-
HFE,NO,1,356,0.0028089888,21,15010,0.0013990673,0.4035550751,-
HFM1,NO,1,354,0.0028248588,8,14946,0.0005352603,0.190399578,-
HIVEP3,NO,210,356,0.5898876404,8788,14886,0.5903533521,1,-
HLA-DQA1,NO,737,2450,3.0011826508,40111,142866,2.8146827003,0.1054336317,-
HMP19,NO,123,712,0.345505618,4313,29960,0.2878988413,0.0728362032,-
HMX2,NO,2,356,0.0056179775,110,15006,0.0073304012,1,-
HNF4G,NO,154,356,0.4325842697,7459,14982,0.4978641036,0.1538341343,-
HOXC8,NO,200,356,0.5617977528,7434,13902,0.5347432024,0.5887220801,-
HPR,NO,1,356,0.0028089888,18,14760,0.0012195122,0.3647965214,-
HRNR,NO,64,356,0.1797752809,2208,15006,0.1471411435,0.1607981439,-
HS3ST2,NO,64,356,0.1797752809,2164,14984,0.1444207154,0.1187071233,-
HSD17B13,NO,3,356,0.0084269663,204,15012,0.0135891287,0.6368368865,-
HSPG2;LDLRAD2,NO,15,356,0.0421348315,752,14990,0.0501667779,0.6210665509,-
HTR1D,NO,114,352,0.3238636364,4540,13850,0.3277978339,0.9566296636,-
HTR1F,NO,1,356,0.0028089888,37,14994,0.0024676537,0.590603165,-
HTR3B,NO,1,356,0.0028089888,4,14968,0.0002672368,0.1111607704,-
HTR3D,NO,576,1068,1.6179775281,22490,43618,1.521865078,0.3992000483,-
HTR3E,NO,14,356,0.0393258427,634,14990,0.0422948632,0.894192263,-
ICOS,NO,1,356,0.0028089888,9,14998,0.00060008,0.2095660817,-
IDI2,NO,64,1068,0.1797752809,2823,45004,0.1885182494,0.7983470124,-
IFIT3,NO,189,356,0.5308988764,7173,14954,0.479670991,0.2667282016,-
IFNA1,NO,41,1424,0.1151685393,963,60048,0.064148486,0.0006969451,-
IFNA10,NO,78,712,0.2191011236,3286,29986,0.2192348859,1,-
IFNA17,NO,2,356,0.0056179775,10,15008,0.0006663113,0.0305816781,-
IFNA21,NO,55,356,0.154494382,2715,14976,0.1812900641,0.2986520391,-
IFNA4,NO,57,356,0.1601123596,2708,14976,0.1808226496,0.4464950473,-
IFNW1,NO,7,356,0.0196629213,373,15012,0.0248467892,0.7277517438,-
IGFBP5,NO,26,712,0.0730337079,939,25020,0.0764180911,1,-
IGFL2,NO,238,712,0.6685393258,9810,29756,0.6566548478,0.8493131427,-
IGFN1,NO,1,356,0.0028089888,9,15000,0.0006,0.2095415926,-
IGLL1,NO,136,1068,0.3820224719,5024,44888,0.3365333813,0.1604374576,-
IGSF21,NO,146,356,0.4101123596,6146,14982,0.4102256041,1,-
IKZF1,NO,17,356,0.047752809,712,14976,0.047542735,0.9002705302,-
IL10,NO,3,712,0.0084269663,43,29996,0.0028661158,0.0911999903,-
IL11,NO,123,712,0.345505618,5027,29858,0.3374639033,0.8031337138,-
IL12RB1,NO,132,356,0.3707865169,6000,14934,0.4017677782,0.4478516681,-
IL17A,NO,85,354,0.2401129944,3331,14976,0.2224225427,0.5316237195,-
IL17F,NO,5,356,0.0140449438,192,15002,0.0127982936,0.8090474641,-
IL17RE,NO,1,356,0.0028089888,17,15002,0.0011331822,0.3449795706,-
IL18R1,NO,22,712,0.0617977528,1081,30018,0.0720226938,0.5408044802,-
IL1B,NO,1,356,0.0028089888,7,15012,0.0004662936,0.1713667214,-
IL1F10,NO,93,1068,0.2612359551,3586,45016,0.2390968495,0.4265776131,-
IL20,NO,1,356,0.0028089888,0,15010,0,0.0232316002,-
IL21,NO,50,1068,0.1404494382,2497,44948,0.1666778148,0.2769666019,-
IL22RA1,NO,230,356,0.6460674157,9044,14978,0.6038189344,0.437568587,-
IL31RA,NO,1,356,0.0028089888,54,15008,0.003598081,1,-
IL36G,NO,261,356,0.7331460674,10544,14978,0.7039658165,0.6198966143,-
IL5RA,NO,1,356,0.0028089888,77,15000,0.0051333333,1,-
IL7R,NO,7,356,0.0196629213,222,15010,0.0147901399,0.3806100167,-
IMPG2,NO,46,356,0.1292134831,1925,14860,0.1295423957,1,-
INHBC,NO,206,356,0.5786516854,7495,14906,0.5028176573,0.1135923754,-
IQCF3,NO,8,356,0.0224719101,266,14986,0.0177498999,0.5397455558,-
IRX6,NO,16,356,0.0449438202,493,15002,0.032862285,0.2309250939,-
ISM1,NO,1,356,0.0028089888,7,14998,0.0004667289,0.1715103785,-
ITGA2B,NO,1,356,0.0028089888,2,15004,0.0001332978,0.0681098595,-
ITGA3,NO,19,1424,0.0533707865,493,59880,0.0329251005,0.0533740375,-
ITM2A,NO,1,356,0.0028089888,8,10423,0.0007675333,0.261389561,-
IVL,NO,47,712,0.1320224719,1582,29948,0.1056591785,0.1528419954,-
IZUMO4,NO,124,712,0.3483146067,5573,29912,0.3727530658,0.5316250806,-
JAK3,NO,3,712,0.0084269663,171,29998,0.0114011913,0.8018155114,-
KAZALD1,NO,61,356,0.1713483146,2332,14986,0.1556119044,0.4690049146,-
KCNA7,NO,99,712,0.2780898876,4012,29920,0.2683631156,0.741289647,-
KCNAB2,NO,41,356,0.1151685393,1712,14944,0.1145610278,0.9334668102,-
KCNG4,NO,30,712,0.0842696629,1182,29964,0.0789368238,0.6973805767,-
KCNJ1,NO,54,712,0.1516853933,2282,29996,0.1522346098,1,-
KCNJ11,NO,229,356,0.643258427,9700,14922,0.6500469106,0.9317862715,-
KCNJ2,NO,1,356,0.0028089888,57,15014,0.0037964566,1,-
KCNJ3,NO,3,356,0.0084269663,81,15000,0.0054,0.4482708964,-
KCNJ5,NO,3,356,0.0084269663,303,14964,0.0202485966,0.1719125925,-
KCNK17,NO,4,356,0.0112359551,129,15010,0.0085942705,0.5545587598,-
KCTD16,NO,19,356,0.0533707865,693,14108,0.0491210661,0.7099720537,-
KDR,NO,356,356,1,15000,15008,0.999466951,1,-
KIAA1210,NO,2,356,0.0056179775,101,6706,0.0150611393,0.2472992407,-
KIAA1456,NO,356,356,1,15018,15018,1,1,-
KIAA1644,NO,18,712,0.0505617978,473,29980,0.0315584734,0.0679919981,-
KIAA1755,NO,319,712,0.8960674157,14183,29864,0.9498392714,0.3993902545,-
KIF2B,NO,313,712,0.8792134831,12803,29936,0.8576030023,0.7043511555,-
KIR3DL2,NO,24,1068,0.0674157303,1135,44534,0.0764214626,0.622359606,-
KIRREL,NO,588,1068,1.6516853933,24063,44890,1.608129636,0.620200541,-
KISS1,NO,20,340,0.0588235294,1105,13144,0.0840687766,0.1331015216,-
KLF15,NO,2,356,0.0056179775,15,14964,0.0010024058,0.0586707834,-
KLHDC7B,NO,4,356,0.0112359551,72,14972,0.0048089768,0.1021185326,-
KLHL14,NO,2,356,0.0056179775,367,15004,0.024460144,0.0195853227,-
KLHL30,NO,1,356,0.0028089888,68,14994,0.0045351474,1,-
KLK3,NO,396,712,1.1123595506,17463,29916,1.1676050283,0.4498263707,-
KLK5,NO,2,356,0.0056179775,50,14986,0.0033364474,0.3417268221,-
KLRC2,NO,246,302,0.8145695364,11665,14092,0.8277746239,0.8623985014,-
KPRP,NO,1,356,0.0028089888,89,14998,0.0059341245,0.7259508805,-
KRT17,NO,1,356,0.0028089888,6,14998,0.0004000533,0.151798896,-
KRT26,NO,1,356,0.0028089888,5,14974,0.0003339121,0.1318111598,-
KRT31,NO,26,356,0.0730337079,1156,14972,0.0772107935,0.919877827,-
KRT38,NO,133,712,0.3735955056,5025,29982,0.3354922721,0.2540683965,-
KRT5,NO,1,356,0.0028089888,58,14978,0.0038723461,1,-
KRT6A,NO,202,356,0.5674157303,8505,14936,0.5694295661,1,-
KRT6C,NO,450,1068,1.2640449438,18470,44696,1.2400510454,0.7319685814,-
KRT71,NO,3,356,0.0084269663,151,14952,0.0100989834,1,-
KRT77,NO,82,356,0.2303370787,3784,14920,0.2536193029,0.4701297313,-
KRT83,NO,124,356,0.3483146067,5719,14956,0.3823883391,0.4087086841,-
KRT84,NO,2,356,0.0056179775,85,14988,0.0056712036,1,-
KRT85,NO,176,712,0.4943820225,7388,29908,0.4953716858,1,-
KRTAP1-3,NO,3,712,0.0084269663,13,30032,0.0008656634,0.0055870405,-
KRTAP1-5,NO,10,356,0.0280898876,433,15002,0.0288628183,1,-
KRTAP11-1,NO,6,356,0.0168539326,166,15010,0.0110592938,0.3005473245,-
KRTAP2-2,NO,65,1068,0.1825842697,2371,44902,0.1583184283,0.2709089311,-
KRTAP2-4,NO,2,356,0.0056179775,3,14956,0.0002005884,0.0051990379,-
KRTAP3-1,NO,129,1068,0.3623595506,3455,44994,0.2303641032,5.59174347627325E-06,-
KRTAP3-2,NO,28,356,0.0786516854,1293,14990,0.086257505,0.702817067,-
KRTAP4-2,NO,339,712,0.952247191,14100,30008,0.9402427023,0.840932248,-
KRTAP4-3,NO,9,1068,0.0252808989,46,45010,0.0030660644,0.000004833,-
KRTAP4-6,NO,245,356,0.6882022472,9706,14954,0.6490571085,0.499137218,-
KRTAP4-7,NO,2,356,0.0056179775,198,15012,0.0131894484,0.3362198766,-
KRTAP4-8,NO,142,254,0.5590551181,9357,14956,0.6256351966,0.2979565503,-
KRTAP5-3,NO,262,356,0.7359550562,11896,14964,0.7949746057,0.3675700486,-
KRTAP5-4,NO,9,356,0.0252808989,324,14978,0.0216317265,0.5811280069,-
KRTAP5-5,NO,195,356,0.547752809,8524,14920,0.5713136729,0.6543575734,-
KRTAP5-9,NO,258,712,0.7247191011,11203,29920,0.7489165447,0.688146787,-
KRTAP8-1,NO,3,356,0.0084269663,118,14972,0.0078813786,0.7606611306,-
KRTAP9-2,NO,3,712,0.0084269663,72,26400,0.005463399,0.4508474206,-
LAIR1,NO,2,356,0.0056179775,8,15004,0.0005331911,0.021514792,-
LAIR2,NO,3,356,0.0084269663,31,14994,0.0020674937,0.0442526407,-
LAMB3,NO,93,356,0.2612359551,4180,14962,0.2793744152,0.603053784,-
LAMB4,NO,57,1068,0.1601123596,2528,45024,0.1684467433,0.7877470777,-
LBP,NO,226,712,0.6348314607,8498,29940,0.5682322091,0.1519944185,-
LBX2,NO,8,712,0.0224719101,146,30014,0.0097287933,0.0283700029,-
LCE1A,NO,4,356,0.0112359551,123,14994,0.0082032813,0.5436382165,-
LCE1C,NO,41,356,0.1151685393,1742,14944,0.1165685225,1,-
LCE2C,NO,3,356,0.0084269663,30,15004,0.0019994668,0.0409750541,-
LCE3E,NO,91,356,0.2556179775,3343,14974,0.2232536396,0.2649457482,-
LCE5A,NO,20,712,0.0561797753,826,30022,0.0550373134,0.9075511197,-
LCE6A,NO,7,712,0.0196629213,65,29970,0.0043373105,0.001465007,-
LCN10,NO,59,712,0.1657303371,2475,29966,0.165263725,0.9453255698,-
LCN8,NO,45,712,0.1264044944,2040,29872,0.1367095707,0.706514797,-
LCT,NO,259,356,0.7275280899,12524,14996,0.8351560416,0.1014111274,-
LGI2,NO,725,1780,2.0365168539,32174,74768,2.1515851445,0.2253910472,-
LILRA1,NO,28,356,0.0786516854,1162,14980,0.0775700935,0.920382809,-
LILRA2,NO,4,712,0.0112359551,38,29968,0.0025360396,0.0162542302,-
LILRB1,NO,129,1068,0.3623595506,6092,44820,0.407799127,0.2233423881,-
LILRB2,NO,2,356,0.0056179775,18,15002,0.00119984,0.0779750762,-
LILRB3,NO,22,356,0.0617977528,800,14984,0.053390283,0.4773844734,-
LILRB5,NO,6,356,0.0168539326,272,14998,0.0181357514,1,-
LINGO3,NO,40,356,0.1123595506,2005,14742,0.1360059693,0.2729105353,-
LIPI,NO,179,356,0.5028089888,7657,14946,0.5123109862,0.8534869216,-
LMCD1,NO,1,356,0.0028089888,39,14976,0.0026041667,0.6098123064,-
LMF1,NO,1,356,0.0028089888,0,14962,0,0.0233043932,-
LMO7DN,NO,33,356,0.0926966292,1274,15006,0.0848993736,0.6327422224,-
LMOD1,NO,257,1068,0.7219101124,10010,44936,0.6704500353,0.2801641799,-
LMX1B,NO,1,356,0.0028089888,8,14974,0.0005342594,0.1910337361,-
LOR,NO,12,356,0.0337078652,292,15000,0.0194666667,0.0804621548,-
LOX,NO,9,356,0.0252808989,619,15000,0.0412666667,0.1718556963,-
LPA,NO,7,356,0.0196629213,345,14996,0.023006135,0.8573905161,-
LRCH2,NO,3,356,0.0084269663,60,10587,0.0056673279,0.4614809624,-
LRIT1,NO,24,712,0.0674157303,885,29982,0.0590551181,0.5025759554,-
LRP3;SLC7A10,NO,12,356,0.0337078652,516,14974,0.0344597302,1,-
LRRC14B,NO,180,356,0.5056179775,8084,14972,0.5399412236,0.4923940696,-
LRRC15,NO,300,1424,0.8426966292,12552,59746,0.8412223249,0.9743358851,-
LRRC25,NO,486,1068,1.3651685393,20531,44812,1.3767850737,0.9119707624,-
LRRC36,NO,3,356,0.0084269663,21,14998,0.0014001867,0.0177556071,-
LRRC37B,NO,51,356,0.143258427,2162,15004,0.144094908,1,-
LRRC55,NO,8,356,0.0224719101,303,15006,0.0201919232,0.7025150975,-
LRRC74A,NO,2,712,0.0056179775,4,30008,0.0002665956,0.007601734,-
LSAMP,NO,88,356,0.2471910112,3936,14684,0.2680468537,0.5561825792,-
LUZP2,NO,145,712,0.4073033708,6210,29952,0.415375805,0.89064889,-
LY6D,NO,6,356,0.0168539326,250,14862,0.0168214238,1,-
LYNX1,NO,767,1068,2.154494382,31132,44312,2.1073663734,0.6485263596,-
LYRM9,NO,268,712,0.7528089888,11225,29996,0.7488297098,0.9421247841,-
LYZL1,NO,28,356,0.0786516854,954,15008,0.0635660981,0.2767054683,-
LYZL6,NO,2,356,0.0056179775,392,15010,0.0261159227,0.0097004799,-
MAGEA11,NO,153,356,0.4297752809,4987,10392,0.4798883757,0.2684320657,-
MAGEB16,NO,408,712,1.1460674157,11113,20518,1.0832437527,0.3728453417,-
MAGEB6,NO,121,356,0.3398876404,3615,10338,0.3496807893,0.8316814168,-
MAGEC1,NO,32,356,0.0898876404,1111,10456,0.1062547819,0.4292206833,-
MAP3K19,NO,1,356,0.0028089888,14,15006,0.0009329601,0.2970826807,-
MAPK15,NO,10,356,0.0280898876,498,14938,0.0333377962,0.7633089637,-
MATN1,NO,40,356,0.1123595506,1675,14990,0.1117411608,0.9327183846,-
MBD3L1,NO,2,356,0.0056179775,28,15006,0.0018659203,0.1536519799,-
MC2R,NO,276,712,0.7752808989,11986,29906,0.8016287725,0.6691174078,-
MCF2L2,NO,1,356,0.0028089888,0,15000,0,0.0232467279,-
MEGF6,NO,36,712,0.1011235955,2611,29924,0.1745329857,0.0007844876,-
MEOX1,NO,1,356,0.0028089888,10,14984,0.0006673785,0.2281158588,-
MEP1B,NO,2,356,0.0056179775,47,15018,0.0031295778,0.3152802319,-
METRN,NO,153,1064,0.4300625638,6426,43734,0.4327304467,0.862114912,-
MGAM2,NO,2,356,0.0056179775,17,14970,0.0011356045,0.0715075745,-
MGARP,NO,2,356,0.0056179775,133,14974,0.0088820622,0.773069433,-
MGP,NO,357,712,1.0028089888,15019,30014,1.00059984,0.9738281767,-
MKX,NO,23,356,0.0646067416,793,15002,0.0528596187,0.3416234286,-
MLANA,NO,1,356,0.0028089888,3,15008,0.0001998934,0.0897408373,-
MLC1,NO,148,1068,0.4157303371,6717,44932,0.4487705077,0.4123366984,-
MMD2,NO,636,1780,1.7865168539,25792,74944,1.7215484194,0.4227443302,-
MME,NO,123,356,0.345505618,5513,14960,0.3685160428,0.5666666831,-
MMP10,NO,113,356,0.3174157303,4979,14972,0.332554101,0.7055962371,-
MMP13,NO,1,356,0.0028089888,25,15000,0.0016666667,0.4572182402,-
MMP17,NO,585,708,1.6525423729,25080,29858,1.6795869099,0.7776791214,-
MMP7,NO,72,356,0.202247191,3502,14970,0.2339345357,0.2885128811,-
MMP8,NO,327,712,0.9185393258,13728,30008,0.9153214566,0.9461011701,-
MN1,NO,156,1068,0.4382022472,6072,41986,0.4528648243,0.8960549111,-
MOBP,NO,174,1424,0.4887640449,6105,59960,0.4077873645,0.0290128662,-
MOGAT2,NO,4,712,0.0112359551,48,29932,0.003204576,0.0329084712,-
MOXD1,NO,4,356,0.0112359551,26,15004,0.0017328712,0.0049893351,-
MPPED2,NO,4,356,0.0112359551,210,14990,0.0140093396,1,-
MR1,NO,15,356,0.0421348315,343,15012,0.022848388,0.0318076804,-
MS4A2,NO,12,356,0.0337078652,253,14996,0.0168711656,0.0363903171,-
MS4A4A,NO,3,356,0.0084269663,302,15010,0.0201199201,0.1710754182,-
MSLN,NO,80,712,0.2247191011,3443,29712,0.2323784814,0.8595857162,-
MUC1,NO,14,356,0.0393258427,814,14978,0.0543463747,0.2823541946,-
MUSTN1;TMEM110-MUSTN1,NO,378,712,1.0617977528,15828,29888,1.0601584217,0.9743099576,-
MX2,NO,3,712,0.0084269663,82,29986,0.0054712754,0.45154229,-
MXRA5,NO,37,1068,0.1039325843,994,31521,0.0947084774,0.593799804,-
MYADML2,NO,220,356,0.6179775281,8955,14958,0.5986762936,0.727559521,-
MYEOV,NO,27,354,0.0762711864,1222,14980,0.0815754339,0.8441365711,-
MYF5,NO,78,356,0.2191011236,3576,14986,0.2386227145,0.5379876249,-
MYF6,NO,7,356,0.0196629213,416,15002,0.027729636,0.5081866339,-
MYH14,NO,149,356,0.4185393258,6666,14876,0.4481043291,0.5266061036,-
MYO15A,NO,1,356,0.0028089888,114,15000,0.0076,0.52696182,-
MYO1D,NO,1,356,0.0028089888,0,14958,0,0.0233104799,-
MYOD1,NO,4,356,0.0112359551,255,14954,0.0170522937,0.532829571,-
MYOG,NO,2,356,0.0056179775,39,14984,0.0026027763,0.2471816806,-
MZB1,NO,9,356,0.0252808989,410,14908,0.0275020123,1,-
NANOS2,NO,35,356,0.0983146067,1852,14970,0.1237140949,0.2192960331,-
NAT16,NO,221,356,0.6207865169,9056,14878,0.6086839629,0.8281488172,-
NCR3LG1,NO,226,356,0.6348314607,9366,14978,0.6253171318,0.8631908781,-
NDST3,NO,7,356,0.0196629213,382,15000,0.0254666667,0.6092471647,-
NDST4,NO,2,356,0.0056179775,6,14884,0.0004031174,0.0140161473,-
NECAB2,NO,7,712,0.0196629213,499,29946,0.0333200857,0.2287260826,-
NEU4,NO,232,1068,0.6516853933,9567,44634,0.6439952574,0.8540029296,-
NEUROD1,NO,2,356,0.0056179775,51,15006,0.0033986405,0.3496004553,-
NEUROD4,NO,114,356,0.3202247191,4432,14980,0.2958611482,0.4700537321,-
NFATC4,NO,73,356,0.2050561798,2999,14972,0.2003072402,0.84429071,-
NHEJ1,NO,271,356,0.7612359551,11454,14958,0.7657440834,0.9674879143,-
NHLH2,NO,33,356,0.0926966292,981,14928,0.0657154341,0.0699767502,-
NIPAL2,NO,172,356,0.4831460674,7433,14980,0.4961949266,0.815147742,-
NIPAL4,NO,1,356,0.0028089888,66,15004,0.004398827,1,-
NKAIN1,NO,1,356,0.0028089888,0,15000,0,0.0232467279,-
NKG7,NO,191,1068,0.5365168539,8884,44936,0.5944023094,0.2187503647,-
NKX6-3,NO,15,356,0.0421348315,497,14974,0.0331908642,0.3701783696,-
NLRC3,NO,27,356,0.0758426966,1107,14984,0.0738788041,0.8385441076,-
NLRX1,NO,168,356,0.4719101124,6473,14952,0.4329186731,0.3608216998,-
NMUR1,NO,309,1068,0.8679775281,13213,44688,0.8870173171,0.7699704394,-
NMUR2,NO,62,356,0.1741573034,2846,14912,0.1908530043,0.5439674515,-
NOTCH2,NO,1,356,0.0028089888,42,15012,0.0027977618,1,-
NPAP1,NO,9,356,0.0252808989,496,14998,0.0330710761,0.5452777238,-
NPDC1,NO,108,356,0.3033707865,4474,14880,0.300672043,0.9555668708,-
NPR3,NO,345,1068,0.9691011236,13984,44822,0.9376038279,0.5695450495,-
NR0B2,NO,23,356,0.0646067416,1040,14978,0.0694351716,0.8328781769,-
NR4A1,NO,16,356,0.0449438202,500,14980,0.0333778371,0.2363134135,-
NRIP2,NO,58,356,0.1629213483,2479,14936,0.1659748259,0.9433349929,-
NRL,NO,257,712,0.7219101124,10082,29904,0.676050045,0.3497605369,-
NRSN1,NO,35,712,0.0983146067,1343,29998,0.0895571886,0.5832241847,-
NTM,NO,117,356,0.3286516854,5977,14990,0.3987324883,0.0795294204,-
NTN3,NO,1,356,0.0028089888,13,14626,0.0008888281,0.2864253756,-
NUDT12,NO,105,356,0.2949438202,4224,14982,0.281938326,0.690576149,-
NUGGC,NO,50,860,0.1972394323,16854,44762,1.1324547443,2.27680752397064E-64,-
NUTM2D,NO,120,356,0.3370786517,5031,14662,0.3431319056,0.9152997996,-
NUTM2F,NO,5,356,0.0140449438,54,1722,0.031358885,0.1100379112,-
NXNL1,NO,81,356,0.2275280899,2933,14842,0.1976148767,0.2677951898,-
NYAP1,NO,2,356,0.0056179775,137,14986,0.0091418657,0.7742581429,-
NYNRIN,NO,344,356,0.9662921348,14501,14970,0.9686706747,1,-
OAS1,NO,224,712,0.6292134831,10052,29990,0.6710160294,0.4233937467,-
